CityTown;Population;Latitude;Longitude
Chelyabinsk, Bazhova, 80;182;55.179647;61.437543
Chelyabinsk, Bazhova, 97;76;55.181627;61.450982
Chelyabinsk, Baykalskaya, 27;180;55.248293;61.372631
Chelyabinsk, Baykalskaya, 29;61;55.248278;61.370645
Chelyabinsk, Baykalskaya, 31;74;55.247975;61.369154
Chelyabinsk, Baykalskaya, 35;157;55.247236;61.365049
Chelyabinsk, Baykalskaya, 46;181;55.248617;61.370124
Chelyabinsk, Baykalskaya, 48;45;55.248837;61.369109
Chelyabinsk, Balkanskaya, 1;111;55.257699;61.368355
Chelyabinsk, Barbyusa, 1;326;55.147448;61.43792
Chelyabinsk, Barbyusa, 124a;45;55.135933;61.429826
Chelyabinsk, Barbyusa, 126;45;55.134697;61.429063
Chelyabinsk, Barbyusa, 128;90;55.133869;61.428533
Chelyabinsk, Barbyusa, 134a;59;55.132026;61.425703
Chelyabinsk, Barbyusa, 136a;59;55.130899;61.425874
Chelyabinsk, Barbyusa, 140a;61;55.129;61.424895
Chelyabinsk, Barbyusa, 144;153;55.127584;61.425218
Chelyabinsk, Barbyusa, 144b;31;55.128562;61.423754
Chelyabinsk, Barbyusa, 144v;46;55.12884;61.423026
Chelyabinsk, Barbyusa, 146;32;55.126395;61.425398
Chelyabinsk, Barbyusa, 148;45;55.124609;61.425676
Chelyabinsk, Barbyusa, 15;42;55.142478;61.434866
Chelyabinsk, Barbyusa, 150;44;55.123538;61.425667
Chelyabinsk, Barbyusa, 16;153;55.145025;61.434579
Chelyabinsk, Barbyusa, 17;84;55.141753;61.434462
Chelyabinsk, Barbyusa, 18;1 380;55.144516;61.435046
Chelyabinsk, Barbyusa, 20;146;55.144248;61.434049
Chelyabinsk, Barbyusa, 269;182;55.119399;61.42564
